,company_name,security,sector
395,PAN ASIA BANKING CORPORATION PLC,PABC.N0000C`,
396,OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000C`,
397,ON ALLY HOLDINGS PLC,ONAL.N0000C`,
398,OFFICE EQUIPMENT PLC,OFEQ.N0000C`,
399,ODEL PLC,ODEL.N0000C`,
400,NATIONS TRUST BANK PLC [Non-Voting],NTB.X0000C`,
401,NATIONS TRUST BANK PLC,NTB.N0000C`,
402,NAWALOKA HOSPITALS PLC,NHL.N0000C`,
403,THE NUWARA ELIYA HOTELS COMPANY PLC,NEH.N0000C`,
404,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000C`,
405,NAMUNUKULA PLANTATIONS PLC,NAMU.N0000C`,
406,MULLER & PHIPPS (CEYLON) PLC,MULL.N0000C`,
407,MERCANTILE SHIPPING COMPANY PLC,MSL.N0000C`,
408,MAHAWELI REACH HOTELS PLC,MRH.N0000C`,
409,MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000C`,
410,HAYLEYS FABRIC PLC,MGT.N0000C`,
411,MERCANTILE INVESTMENTS AND FINANCE PLC,MERC.N0000C`,
412,MELSTACORP PLC,MELS.N0000C`,
413,GREENTECH ENERGY PLC,MEL.N0000C`,
414,MAHAWELI COCONUT PLANTATIONS PLC,MCPL.N0000C`,
415,MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000C`,
416,MASKELIYA PLANTATIONS PLC,MASK.N0000C`,
417,MARAWILA  RESORTS  PLC,MARA.N0000C`,
418,MALWATTE VALLEY PLANTATION PLC [Non-Voting],MAL.X0000C`,
419,MALWATTE VALLEY PLANTATION PLC,MAL.N0000C`,
420,MADULSIMA  PLANTATIONS  PLC,MADU.N0000C`,
421,LANKA WALLTILE PLC,LWL.N0000C`,
422,LANKA VENTURES PLC,LVEN.N0000C`,
423,L V L ENERGY FUND PLC,LVEF.N0000C`,
424,LAKE HOUSE PRINTERS & PUBLISHERS PLC,LPRT.N0000C`,
425,LAUGFS POWER PLC [Non-Voting],LPL.X0000C`,
426,LAUGFS POWER PLC,LPL.N0000C`,
427,L O L C HOLDINGS PLC,LOLC.N0000C`,
428,LOLC FINANCE PLC,LOFC.N0000C`,
429,LANKA MILK FOODS (CWE) PLC,LMF.N0000C`,
430,CHEVRON LUBRICANTS  LANKA  PLC,LLUB.N0000C`,
431,LAXAPANA PLC,LITE.N0000C`,
432,LION BREWERY (CEYLON) PLC,LION.N0000C`,
433,LANKA IOC PLC,LIOC.N0000C`,
434,THE  LIGHTHOUSE  HOTEL  PLC,LHL.N0000C`,
435,THE LANKA HOSPITALS CORPORATION PLC,LHCL.N0000C`,
436,LAUGFS GAS PLC [Non-Voting],LGL.X0000C`,
437,LAUGFS GAS PLC,LGL.N0000C`,
438,LB FINANCE PLC,LFIN.N0000C`,
439,LANKEM DEVELOPMENTS PLC,LDEV.N0000C`,
